IDX,Year,Month,Quarter,Overnight,1-week,1-month,3-month,6-month,9-month,12-month
198,2012,11,4,0.09781,0.128002727,0.278294545,0.397141818,0.546526818,0.616445,0.856445
199,2012,12,4,0.096089474,0.127686842,0.277649474,0.398060526,0.546827368,0.61679,0.856448947
200,2013,01,1,0.095648636,0.107922727,0.250551364,0.390195,0.540032727,0.610032727,0.849918182
201,2013,02,1,0.093234118,0.097605882,0.226468824,0.384328235,0.535418235,0.605501765,0.845460588
202,2013,03,1,0.0876945,0.09683,0.2126085,0.382072,0.5371065,0.606893,0.846893
203,2013,04,2,0.08125,0.095426,0.207069,0.37807,0.5376065,0.6091425,0.849249
204,2013,05,2,0.07605381,0.093827143,0.207141905,0.377670476,0.538674286,0.60864,0.848981429
205,2013,06,2,0.078758947,0.099491579,0.207517895,0.378937368,0.543682632,0.615337895,0.859361579
206,2013,07,3,0.083767727,0.118718636,0.207256364,0.382127273,0.544171364,0.620744545,0.870374091
207,2013,08,3,0.08173381,0.118895714,0.206702857,0.383368095,0.544285238,0.621291429,0.870883333
208,2013,09,3,0.0903585,0.123552,0.2085,0.384962,0.545533,0.621572,0.8712855
209,2013,10,4,0.097142857,0.13636,0.215984286,0.384115714,0.545814762,0.621428571,0.871801905
210,2013,11,4,0.075155238,0.130911905,0.213911429,0.379729524,0.547591429,0.634356667,0.867551905
211,2013,12,4,0.0718425,0.1315365,0.21275,0.379215,0.5488935,0.6441355,0.8652915
212,2014,01,1,0.066439524,0.127202857,0.211636667,0.376770952,0.547980952,0.638494762,0.867909524
213,2014,02,1,0.061138947,0.129214737,0.209612105,0.377089474,0.549164737,0.642945263,0.868742632
214,2014,03,1,0.0577,0.129064286,0.209149524,0.374056667,0.549490952,0.646495238,0.868459048
215,2014,04,2,0.061707,0.131505,0.209354,0.373285,0.5486725,,0.8640175
216,2014,05,2,0.0601005,0.129356,0.2083285,0.372178,0.5490185,,0.865075
217,2014,06,2,0.0707745,0.134715,0.212013,0.374872,0.5492455,,0.865435
218,2014,07,3,0.077087727,0.144054091,0.224363182,0.376688182,0.543799091,,0.85549
219,2014,08,3,0.04745,0.10622381,0.216009048,0.36816381,0.539048095,,0.84419381
220,2014,09,3,0.04501,0.10139619,0.215019048,0.367168095,0.53811,,0.844591905
221,2014,10,4,0.049241429,0.108761429,0.227687143,0.37672619,0.537406667,,0.839234762
222,2014,11,4,0.05331,0.112969,0.2287145,0.3726785,0.5379285,,0.840904
223,2014,12,4,0.07783,0.12554381,0.240073333,0.385470952,0.541565238,,0.844354286
224,2015,01,1,0.05367,0.101583333,0.233740476,0.38496619,0.539252381,,0.83932
225,2015,02,1,0.053528333,0.107183333,0.236223333,0.386308889,0.539801667,,0.840077778
226,2015,03,1,0.059236364,0.109577727,0.236498182,0.386965,0.538668636,,0.839966818
227,2015,04,2,0.057416842,0.108190526,0.237810526,0.386691579,0.539596316,,0.841395263
228,2015,05,2,0.055167895,0.10214,0.239191579,0.388202105,0.542062632,,0.842740526
229,2015,06,2,0.058175455,0.114332727,0.239186818,0.388762273,0.541634091,,0.842440909
230,2015,07,3,0.057987273,0.111004091,0.239295909,0.388103182,0.541522273,,0.841876364
231,2015,08,3,0.054729524,0.111548095,0.244779048,0.394894762,0.546962381,,0.84826619
232,2015,09,3,0.0511275,0.095117,0.2448555,0.400733,0.5626475,,0.8736085
233,2015,10,4,0.050237,0.091593,0.234057,0.393855,0.5564985,,0.8634725
234,2015,11,4,0.047799524,0.08495619,0.198414762,0.377003333,0.549398095,,0.849428571
235,2015,12,4,0.049971818,0.096579545,0.222226364,0.3891,0.553242273,,0.851309091
236,2016,01,1,0.046267,0.0992395,0.2885075,0.5124665,0.7185675,,1.0634455
237,2016,02,1,0.049203889,0.099056111,0.342571111,0.647047222,0.958280556,,1.337701667
238,2016,03,1,0.05186,0.084752381,0.233877143,0.566679048,0.895004762,,1.272327143
239,2016,04,2,0.0509825,0.086616,0.2269195,0.550355,0.888396,,1.2802015
240,2016,05,2,0.049381429,0.078783333,0.211710952,0.527353333,0.867131905,,1.261940476
241,2016,06,2,0.053515238,0.090424762,0.231868571,0.53882381,0.871630476,,1.279881429
242,2016,07,3,0.051737,0.088617,0.241276,0.5551845,0.883205,,1.247418
243,2016,08,3,0.061385455,0.100136364,0.244006364,0.564849091,0.898503182,,1.208981364
244,2016,09,3,0.079561429,0.124600476,0.264241429,0.583713333,0.924669524,,1.271537143
245,2016,10,4,0.094750526,0.151813684,0.289355789,0.602476316,0.942268421,,1.281201579
246,2016,11,4,0.113738636,0.224676364,0.373786364,0.651784091,0.989036364,,1.293406364
247,2016,12,4,0.172489,0.3473245,0.614885,0.8779765,1.144799,,1.4753805
248,2017,01,1,0.138922632,0.313779474,0.677987895,1.007094737,1.251001579,,1.562850526
249,2017,02,1,0.076355,0.187266,0.512642,0.9627505,1.1440825,,1.5151425
250,2017,03,1,0.066675652,0.170197391,0.447214783,0.940767826,1.085516087,,1.49020913
251,2017,04,2,0.070029412,0.181284118,0.410614118,0.903171176,1.06498,,1.465727647
252,2017,05,2,0.0748455,0.1809565,0.3718415,0.8179535,1.0059885,,1.4125155
253,2017,06,2,0.113856364,0.216705,0.407702273,0.764313182,0.970579545,,1.389644091
254,2017,07,3,0.121335238,0.214670952,0.44858,0.771442857,0.970279524,,1.386858571
255,2017,08,3,0.097943636,0.197347273,0.424288636,0.760693182,0.958452273,,1.381068636
256,2017,09,3,0.19469381,0.31769381,0.469938095,0.76047381,0.958388095,,1.383530476
257,2017,10,4,0.325169,0.4537675,0.606281,0.832052,0.977291,,1.390064
258,2017,11,4,0.406030455,0.776169091,0.815319545,1.011862273,1.113685,,1.43976
259,2017,12,4,0.254052105,0.485713684,1.105247368,1.263166842,1.333001053,,1.514934211
260,2018,01,1,0.359708182,0.557770455,0.960480455,1.239749545,1.358225909,,1.527650455
261,2018,02,1,0.203780556,0.436865,0.782373333,1.162313333,1.342916111,,1.527389444
262,2018,03,1,0.116960952,0.388649524,0.790052857,1.086304762,1.396181429,,1.724598095
263,2018,04,2,0.266222105,0.603684211,1.004062105,1.328999474,1.625943158,,2.109878421
264,2018,05,2,0.327147619,0.518953333,1.05903,1.74063,1.882221429,,2.293784286
265,2018,06,2,0.8959735,1.2091415,1.625377,1.9829655,2.11886,,2.446385
266,2018,07,3,0.585120476,1.091299048,1.813954762,2.049174762,2.190975714,,2.544709524
267,2018,08,3,0.712465652,0.997403913,1.42303087,1.881176957,2.112338261,,2.487094783
268,2018,09,3,1.730131053,1.777942632,1.809451579,2.072924211,2.225821579,,2.583901579
269,2018,10,4,0.778136667,1.15901381,1.604534762,2.126574286,2.357911905,,2.681517143
270,2018,11,4,0.571473636,0.758076818,1.067232727,2.024012727,2.304247727,,2.654745455
271,2018,12,4,1.332855789,1.450977895,2.205424737,2.321767895,2.437576316,,2.742984211
272,2019,01,1,0.571707727,0.823790909,1.356235,1.863705909,2.244160909,,2.530390455
273,2019,02,1,0.671155882,0.784191176,0.995688824,1.653147647,2.03888,,2.386617647
274,2019,03,1,1.046937619,1.225399524,1.527518571,1.71799381,1.937705238,,2.306129524
275,2019,04,2,1.947394737,2.035932632,1.935103684,1.934335789,2.032957895,,2.2883
276,2019,05,2,1.122599048,1.492177143,1.824983333,2.06856,2.137110952,,2.327335238
277,2019,06,2,1.840144737,2.152077368,2.353511579,2.341310526,2.329647368,,2.391495789
278,2019,07,3,1.578152273,2.091031364,2.219232273,2.363585909,2.353341364,,2.354554091
279,2019,08,3,0.936121364,1.479813636,1.957896364,2.320212727,2.352227273,,2.384042727
280,2019,09,3,0.779132381,1.210504286,1.911822857,2.280088095,2.338339524,,2.361028095
281,2019,10,4,1.320901905,1.51077381,1.716752381,2.184437619,2.262442857,,2.315770476
282,2019,11,4,1.630140476,2.138360476,2.188203333,2.33918381,2.322295714,,2.348651905
283,2019,12,4,1.867684,2.0729715,2.5738515,2.389086,2.3848035,,2.408437
284,2020,01,1,1.7879665,1.97567,2.076625,2.2959415,2.3489105,,2.3918845
285,2020,02,1,1.247239,1.524604,1.819637,2.0771815,2.249971,,2.3300795
286,2020,03,1,1.064967727,1.342517273,1.567451364,1.599075455,1.661593182,,1.716160909
287,2020,04,2,0.902073684,1.221729474,1.601726842,1.871208421,1.937769474,,1.951847368
288,2020,05,2,0.263928,0.550857,0.8300025,1.2428355,1.490637,,1.633393
289,2020,06,2,0.135241429,0.329887143,0.617641905,0.93260619,1.180078095,,1.429494286
290,2020,07,3,0.081072273,0.173059545,0.327195,0.565781818,0.772432273,,1.056007273
291,2020,08,3,0.083030476,0.163491905,0.254109524,0.452372857,0.65462619,,0.91156619
292,2020,09,3,0.104299091,0.238071818,0.442005,0.56941,0.701537727,,0.887207727
293,2020,10,4,0.080700556,0.228275,0.415010556,0.546221111,0.695626111,,0.874166111
294,2020,11,4,0.050967619,0.083508571,0.151584286,0.351589048,0.572202857,,0.737765238
295,2020,12,4,0.044415,0.081621364,0.231704545,0.349643636,0.542491364,,0.709457273
296,2021,01,1,0.0564695,0.0789555,0.1281135,0.267411,0.491114,,0.6430535
297,2021,02,1,0.065825556,0.105273333,0.139864444,0.234662778,0.467701667,,0.620942778
298,2021,03,1,0.038353043,0.065988261,0.145838261,0.231998696,0.446723043,,0.604643043
299,2021,04,2,0.037069474,0.049837895,0.103121579,0.195425263,0.348609474,,0.491685263
300,2021,05,2,0.0381845,0.0511345,0.0827975,0.1726515,0.2994115,,0.4305985
301,2021,06,2,0.039836667,0.059145238,0.089711905,0.171921905,0.265280952,,0.385364762
302,2021,07,3,0.039019048,0.051841905,0.083661905,0.158086667,0.256274762,,0.360620952
303,2021,08,3,0.041344091,0.046956364,0.071786364,0.145585455,0.252007273,,0.352365
304,2021,09,3,0.037179524,0.040058571,0.064809524,0.142407143,0.241272381,,0.33938
305,2021,10,4,0.037028889,0.041623889,0.064736111,0.146132222,0.221772778,,0.322301667
306,2021,11,4,0.047186364,0.053964091,0.08057,0.184365909,0.243441364,,0.340204545
307,2021,12,4,0.049821818,0.073100909,0.195027727,0.257727273,0.320321818,,0.429152727
308,2022,01,1,0.078669048,0.102854762,0.154875238,0.275388095,0.380270952,,0.530191905
309,2022,02,1,0.077914118,0.11456,0.169710588,0.391047647,0.589281765,,0.931919412
310,2022,03,1,0.054392174,0.106556087,0.273532609,0.557526522,0.863357391,,1.39883
